GeneID	T1	T2	T3	T4	T5
HORVU.MOREX.r3.4HG0331680.V3	8.90374984492687	8.99303571654601	9.29734418067314	9.13691165574681	8.99080980916798
HORVU.MOREX.r3.4HG0331720.V3	8.78400565265533	8.12002312855492	9.03542468193926	8.98015314780795	8.51144011291705
HORVU.MOREX.r3.4HG0331730.V3	7.83131929494458	8.30907615266382	8.31457219858603	8.35804339677948	8.65928076183647
HORVU.MOREX.r3.4HG0331740.V3	14.6933217422022	13.684041770673	12.90495336546	13.2187186005369	11.848503923422
HORVU.MOREX.r3.4HG0331750.V3	7.15338956234027	5.72783961220892	7.97833103548029	7.54905503844136	6.43287843832595
HORVU.MOREX.r3.4HG0331850.V3	7.52526008814437	6.76920928962686	6.12738335084179	6.83436738230644	6.28935976036854
HORVU.MOREX.r3.4HG0331880.V3	9.11652827514753	10.0443850002715	9.5595203467131	9.12988447155546	8.21613141443905
HORVU.MOREX.r3.4HG0331890.V3	14.0852128765921	13.0296956725491	13.4045183414742	13.5204492294395	13.0590718496863
HORVU.MOREX.r3.4HG0331940.V3	10.6959841094598	10.1080998379124	10.1659515176653	10.0313537374827	9.90301498930232
HORVU.MOREX.r3.4HG0332030.V3	9.24772870910258	11.4772932674345	10.7091301764546	10.499585096777	11.1199466800819
HORVU.MOREX.r3.4HG0332040.V3	7.40183346237687	7.08023859682433	7.4008320200116	7.6343483250732	8.0035670904797
HORVU.MOREX.r3.4HG0332050.V3	8.8277878241448	8.95479188929503	8.52629009477963	8.38751020030825	7.91881368445653
HORVU.MOREX.r3.4HG0332150.V3	5.22369652186323	5.30656834568622	5.47757008859109	5.9232662549245	7.52558031998761
HORVU.MOREX.r3.4HG0332160.V3	10.555614250993	12.1823716015883	11.6998583388037	11.3146720602274	11.8602377672764
HORVU.MOREX.r3.4HG0332220.V3	11.6315956183982	10.5926955001454	11.0577936438718	10.9248628376597	9.75717135083097
HORVU.MOREX.r3.4HG0332230.V3	8.20224373115161	8.55395997099231	8.43269499134909	8.85889676817449	8.87369116534321
HORVU.MOREX.r3.4HG0332240.V3	5.26632256172158	5.33924901562888	6.0312160667334	5.34980087183775	5.48291998528902
HORVU.MOREX.r3.4HG0332520.V3	10.1519923971269	9.97279251369976	9.9402950964257	10.1207915074759	10.0721785184379
HORVU.MOREX.r3.4HG0332530.V3	15.1910559206157	14.7191092049893	14.0897403271295	13.8385834480289	12.7082166408322
HORVU.MOREX.r3.4HG0332540.V3	13.7276604854892	13.3727444089141	12.8294797794477	12.5662743883446	12.4094846657864
HORVU.MOREX.r3.4HG0332630.V3	10.2612383166586	9.57805057592417	10.0778118476255	10.2611170843217	10.0850090476157
HORVU.MOREX.r3.4HG0332640.V3	8.70878516634719	9.30607308703776	9.12611068848554	9.21709160391886	9.32426479347554
HORVU.MOREX.r3.4HG0332710.V3	6.60151173112094	6.68107118586351	7.01266319141511	7.54303212439791	7.40113058775881
HORVU.MOREX.r3.4HG0332840.V3	12.7041833751736	11.7160188998247	13.2825078591587	13.5013518259657	12.7602858064071
HORVU.MOREX.r3.4HG0332900.V3	9.68002391692731	9.91223791148482	9.95512234087915	9.81092210944527	10.0415174184454
HORVU.MOREX.r3.4HG0332920.V3	10.4476388719199	10.3804137151392	10.3003041742879	10.2712217331169	10.301204079204
HORVU.MOREX.r3.4HG0332930.V3	11.2471333796625	11.2346762884233	10.1254733064698	9.95731135111337	9.10733435560747
HORVU.MOREX.r3.4HG0332960.V3	9.00980724427337	9.21514817874964	9.24365981745868	9.29792799056598	9.4675831919142
HORVU.MOREX.r3.4HG0332970.V3	8.22095234470583	7.75361940081942	8.71254339145175	8.97685315957471	7.74858261472206
HORVU.MOREX.r3.4HG0333000.V3	10.8478765441221	10.9326468417979	10.9753446763124	11.0224547810676	11.1940677668783
HORVU.MOREX.r3.4HG0333010.V3	7.77940634089798	7.84089288425696	7.97106003309933	7.79076227340863	7.0795699111255
HORVU.MOREX.r3.4HG0333020.V3	8.33960968518803	8.35420091816335	8.40688194855641	8.66409484762543	8.77820286579584
HORVU.MOREX.r3.4HG0333030.V3	11.9972545552518	11.8448215176904	12.384201084921	12.1943313390544	11.8492947034757
HORVU.MOREX.r3.4HG0333040.V3	11.1004034883798	10.4663126941408	10.012323645075	10.1772978370086	10.5132270387931
HORVU.MOREX.r3.4HG0333090.V3	9.53413064634431	9.58623809634459	9.84696930939594	9.92082184514367	9.89359946431313
HORVU.MOREX.r3.4HG0333100.V3	10.0495595267129	11.951026058266	12.1946856492374	11.7318080944098	13.5613029825079
HORVU.MOREX.r3.4HG0333120.V3	6.54715791277015	6.13544750898634	5.47457581172269	5.73834745947697	5.81193502753516
HORVU.MOREX.r3.4HG0333130.V3	8.29933375350926	8.98075396624286	8.65593158285962	8.49431555105823	8.43163114924218
HORVU.MOREX.r3.4HG0333170.V3	7.05904972283419	8.05108148614422	8.31327814856238	8.32753696796673	9.55175347537474
HORVU.MOREX.r3.4HG0333180.V3	9.21345253844609	9.177909697053	9.37798299110832	9.01438365495508	9.49323892503143
HORVU.MOREX.r3.4HG0333190.V3	10.1974178917083	11.8696305320072	10.7380980621125	9.34960056595282	8.65703370542277
HORVU.MOREX.r3.4HG0333240.V3	10.4479700305859	11.0041975102262	9.72143730034914	9.54224006385662	8.61584247718006
HORVU.MOREX.r3.4HG0333250.V3	10.4649927134076	9.72202404265269	10.2006581836444	9.92187587127374	10.1046815098541
HORVU.MOREX.r3.4HG0333260.V3	10.8955887067091	10.609141522336	10.583594134519	10.6586206306516	10.6766269334155
HORVU.MOREX.r3.4HG0333270.V3	7.01603503377914	7.70960259159674	7.61690024600406	7.53826111921424	7.57832124294903
HORVU.MOREX.r3.4HG0333300.V3	8.58543396745149	8.18811680487983	8.02565022143039	7.68810599312164	7.39381717909552
HORVU.MOREX.r3.4HG0333310.V3	9.63604126675901	9.13458596025671	9.41049273134552	9.38260909301574	9.29253883296021
HORVU.MOREX.r3.4HG0333320.V3	6.53036853404166	5.54890251200741	5.91901376884065	5.83403043518769	5.22915307420748
HORVU.MOREX.r3.4HG0333350.V3	5.53218817151763	5.25520209048202	5.16254154841002	5.47828937461633	6.92706578960703
HORVU.MOREX.r3.4HG0333370.V3	9.39948015334502	8.80267828201836	9.15619696618026	9.53952220624811	9.70651219801455
