GeneID	T1	T2	T3	T4	T5
HORVU.MOREX.r3.2HG0120820.V3	8.9207852659327	9.06007502459653	8.8938081628401	9.15730612406553	8.9481350472035
HORVU.MOREX.r3.2HG0120870.V3	11.7562413133883	11.3847887627367	11.2280701092776	11.0571256692068	11.6325485293666
HORVU.MOREX.r3.2HG0120900.V3	9.51778924859513	9.40677981044468	9.22816171319754	9.48427455158225	9.2179652306483
HORVU.MOREX.r3.2HG0120910.V3	11.0229492974281	11.1352923018819	10.9994201448037	11.190874358343	11.1087429596702
HORVU.MOREX.r3.2HG0121000.V3	8.91139183694092	8.39413255642717	8.87282279484118	9.16123455494086	9.26001959779692
HORVU.MOREX.r3.2HG0121010.V3	8.46318346424024	8.55643696502167	8.71091576598207	8.71901886726702	8.63982081427167
HORVU.MOREX.r3.2HG0121110.V3	9.13024151527654	9.65353822484865	9.94408856126829	10.0505858663604	9.80659295849693
HORVU.MOREX.r3.2HG0121170.V3	9.65316278227362	9.99970003883949	9.69791310605251	9.36180861787898	9.40790158713022
HORVU.MOREX.r3.2HG0121200.V3	9.560043359206	9.2717317130425	9.16060681683464	9.66076863067048	9.17567569641446
HORVU.MOREX.r3.2HG0121300.V3	11.5685943088977	12.3304722659546	12.4550910649573	12.5665377952721	11.6470220418672
HORVU.MOREX.r3.2HG0121310.V3	8.32427494779274	8.20167168313154	8.33060034573005	8.47892373935252	8.35680949064694
HORVU.MOREX.r3.2HG0121320.V3	11.6497369910849	12.236511216557	12.3471957888321	12.4620690925575	11.5890939493108
HORVU.MOREX.r3.2HG0121480.V3	9.97403647944876	9.89333225071286	9.90854487796395	10.2418443537289	9.94393611242035
HORVU.MOREX.r3.2HG0121520.V3	11.4342107527377	11.9632121972695	11.3963257780303	11.5332812174509	11.4602447244802
HORVU.MOREX.r3.2HG0121530.V3	6.91243754275191	6.72483573484598	6.69900679206007	6.9571905096729	6.88975182023786
HORVU.MOREX.r3.2HG0121570.V3	9.19226337029171	8.55830162853052	8.45030017991188	8.65269021409489	8.69794380062046
HORVU.MOREX.r3.2HG0121580.V3	9.07845341814844	9.21543742548525	9.1826813060403	9.01160704945151	9.17762617849887
HORVU.MOREX.r3.2HG0121590.V3	9.36734472581898	9.20025285841125	9.26545247095859	9.51724729186221	9.479487189548
