GeneID	T1	T2	T3	T4	T5
Bradi1g46840.v3.2	9.14725035162201	10.4635726840549	9.48699000069501	9.49194472454233	9.68226897284271
Bradi1g46850.v3.2	6.88162858128132	6.91796521126775	7.30311449376256	6.98635352477341	6.84218167624475
Bradi1g46860.v3.2	5.12567637636599	5.09575970785161	5.44271758397678	4.97177751619058	5.90137752265039
Bradi1g46873.v3.2	7.08789696421508	7.22914222962755	6.95046280565702	6.96986925219517	7.02235493823726
Bradi1g46880.v3.2	8.18584941721126	8.42427162035673	8.63548431423381	8.40130853750703	8.38791207415652
Bradi1g46900.v3.2	8.4887196453705	8.45142426952876	8.57300397298565	8.82978855654785	8.79208345707665
Bradi1g46910.v3.2	8.47751612794742	8.84377055017872	8.50528541864645	8.39566410836076	8.43606918393605
Bradi1g46920.v3.2	7.92212134077573	7.84156521772075	6.90074883988133	7.33635995736802	7.59046419331814
Bradi1g46940.v3.2	7.59266374925605	7.79652510675138	7.45789814599155	7.71879944723605	7.22901874386975
Bradi1g46943.v3.2	6.61843852087761	6.46187736769143	6.91554918886619	6.98335511182908	6.65009980945347
Bradi1g46947.v3.2	5.08736078728116	4.9736707986268	5.67622329533788	5.4678232361525	5.67066157385889
Bradi1g46960.v3.2	9.47303993260427	9.35124397788151	9.29152062604813	9.09984355847357	9.30553505254145
Bradi1g46970.v3.2	10.1371041106558	9.59580181836207	9.35622602258981	9.61478419855249	9.66909976301165
Bradi1g46980.v3.2	10.3019602540001	10.6379893313447	9.95778775752338	10.0143189161851	9.79574793129506
Bradi1g47017.v3.2	9.52840348594914	10.6972011266126	11.2748176560955	11.0471505384897	10.9515862180545
Bradi1g47030.v3.2	11.979973233308	13.0133758331752	11.8723516336773	12.704002982824	12.8754595192349
Bradi1g47035.v3.2	6.21329012123965	6.84265465241154	6.68971045009446	6.91718212692992	7.19423153646944
Bradi1g47040.v3.2	7.14662573215397	7.69777068610542	7.31650720585309	7.0849915926927	6.77195394708041
Bradi1g47050.v3.2	5.32534727231754	4.95250460933277	5.36435717529936	5.18582327934248	5.24857822254503
Bradi1g47060.v3.2	7.55514544207074	6.90349749588682	7.0765319993369	7.36476462837386	7.73088608549974
Bradi1g47067.v3.2	9.96619972074483	9.84025278433141	10.1450264484108	9.97759039755567	9.94806549553519
